Time,Time Code,Country Name,Country Code,Gender,Labor force participation rate  ,Unemployment with advanced education  ,Unemployment with intermediate education  ,Unemployment  ,Unemployment youth  ,Life expectancy at birth  ,Literacy rate adult  ,Literacy rate youth  ,Labor force with advanced education  ,Labor force with basic education  ,Labor force with intermediate education  ,Primary completion rate  ,School enrollment primary  ,School enrollment secondary  ,School enrollment tertiary  
2016-01-01,YR2016,Algeria,DZA,male,67.3929977416992,0.0,0.0,8.33600044250488,20.8320007324219,74.873,0.0,0.0,0.0,0.0,0.0,105.518981933594,116.564437866211,0.0,32.0856895446777
2016-01-01,YR2016,Argentina,ARG,male,73.3820037841797,0.0,0.0,8.10099983215332,22.3950004577637,72.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,YR2016,Australia,AUS,male,70.6669998168945,0.0,0.0,5.66400003433228,13.8520002365112,80.5,0.0,0.0,0.0,0.0,0.0,0.0,101.361679077148,164.489715576172,100.762252807617
2016-01-01,YR2016,Austria,AUT,male,66.2220001220703,3.58010005950928,5.76760005950928,6.42600011825562,12.1260004043579,78.5,0.0,0.0,76.8841018676758,37.4990005493164,63.9089012145996,99.7115783691406,102.517791748047,102.909523010254,76.4458694458008
2016-01-01,YR2016,Belgium,BEL,male,58.9640007019043,4.2039999961853,8.04419994354248,8.0600004196167,21.6979999542236,78.7,0.0,0.0,74.9630966186523,28.8955001831055,59.2173004150391,0.0,0.0,0.0,0.0
2016-01-01,YR2016,Bangladesh,BGD,male,79.8050003051758,9.02999973297119,9.71000003814697,3.18700003623962,9.94299983978271,70.891,75.6188507080078,90.9053497314453,77.5199966430664,57.5299987792969,51.310001373291,0.0,115.182312011719,65.6191635131836,20.3093795776367
2016-01-01,YR2016,Brazil,BRA,male,74.9449996948242,6.33319997787476,13.4631996154785,10.2119998931885,24.0459995269775,71.883,0.0,0.0,81.6735000610352,48.5859985351563,74.1845016479492,0.0,0.0,0.0,0.0
2016-01-01,YR2016,Canada,CAN,male,70.1060028076172,5.46220016479492,8.28919982910156,7.67899990081787,14.7969999313354,80.441,0.0,0.0,75.352897644043,44.3600006103516,63.3680000305176,0.0,101.397552490234,112.241523742676,0.0
2016-01-01,YR2016,China,CHN,male,76.3939971923828,0.0,0.0,5.05100011825562,11.8999996185303,74.795,0.0,0.0,0.0,0.0,0.0,0.0,100.576637268066,0.0,44.1549987792969
2016-01-01,YR2016,Colombia,COL,male,82.5589981079102,11.2873001098633,9.98770046234131,6.6230001449585,13.8210000991821,70.851,0.0,0.0,78.9738006591797,62.4086990356445,74.2873992919922,102.048561096191,115.68285369873,95.1712875366211,54.4490509033203
2016-01-01,YR2016,Denmark,DNK,male,67.3919982910156,4.90749979019165,5.16429996490479,5.76800012588501,12.9779996871948,78.9,0.0,0.0,77.0628967285156,46.0429992675781,66.6971969604492,105.058212280273,102.387969970703,127.297119140625,68.8472671508789
2016-01-01,YR2016,Ethiopia,ETH,male,87.7959976196289,0.0,0.0,3.04999995231628,5.02400016784668,63.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,YR2016,Finland,FIN,male,62.1510009765625,5.81479978561401,9.50959968566895,9.04100036621094,21.5550003051758,79.0,0.0,0.0,74.144401550293,26.8724994659424,65.9533004760742,100.680297851563,100.641792297363,144.951187133789,79.7512893676758
2016-01-01,YR2016,France,FRA,male,60.431999206543,5.69619989395142,10.6632995605469,10.2480001449585,24.9200000762939,79.2,0.0,0.0,77.2889022827148,30.2266006469727,61.8478012084961,0.0,0.0,0.0,0.0
2016-01-01,YR2016,Germany,DEU,male,66.2740020751953,2.18680000305176,3.68869996070862,4.44999980926514,7.84600019454956,78.3,0.0,0.0,73.7539978027344,38.0371017456055,64.6239013671875,0.0,0.0,0.0,0.0
2016-01-01,YR2016,Greece,GRC,male,60.9650001525879,17.9995002746582,26.1802997589111,19.9080009460449,44.3330001831055,78.5,0.0,0.0,76.2273025512695,33.8582000732422,60.9483985900879,0.0,0.0,0.0,0.0
2016-01-01,YR2016,India,IND,male,78.8840026855469,0.0,0.0,3.29099988937378,10.1789999008179,67.094,0.0,0.0,0.0,0.0,0.0,94.2506637573242,106.148910522461,74.5919036865234,26.9009990692139
2016-01-01,YR2016,Iraq,IRQ,male,73.9800033569336,0.0,0.0,6.91900014877319,14.1300001144409,67.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,YR2016,Ireland,IRL,male,67.7850036621094,4.96759986877441,9.80879974365234,9.00399971008301,19.3540000915527,79.9,0.0,0.0,81.5799026489258,32.4171981811523,68.734001159668,0.0,100.775688171387,124.654251098633,0.0
2016-01-01,YR2016,Indonesia,IDN,male,81.9540023803711,4.94740009307861,7.53599977493286,4.38299989700317,14.9230003356934,67.15,97.1744384765625,99.6834487915039,85.5942993164063,61.2333984375,70.7033996582031,98.5562515258789,105.395668029785,84.5327072143555,26.4712104797363
2016-01-01,YR2016,Israel,ISR,male,69.2870025634766,0.0,0.0,4.6729998588562,8.26299953460693,80.7,0.0,0.0,0.0,0.0,0.0,102.239738464355,103.171859741211,103.185256958008,53.7255706787109
2016-01-01,YR2016,Japan,JPN,male,70.9309997558594,0.0,0.0,3.34999990463257,5.77799987792969,80.98,0.0,0.0,77.7200012207031,0.0,53.7799987792969,0.0,0.0,0.0,0.0
2016-01-01,YR2016,"Korea, Rep.",KOR,male,73.1520004272461,0.0,0.0,3.78500008583069,10.6719999313354,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
