Time,Time Code,Country Name,Country Code,CPIA economic management cluster average ,CPIA financial sector rating ,CPIA macroeconomic management rating ,Automated teller machines ,Borrowers from commercial banks ,Depth of credit information index ,Domestic credit provided by financial sector %GDP ,Domestic credit to private sector %GDP ,Market capitalization of listed companies %GDP ,Private credit bureau coverage ,Public credit registry coverage ,Informal payments to public officials ,Number of visits or required meetings with tax officials ,CPIA policies for social inclusion/equity cluster average ,CPIA property rights and rule-based governance rating ,CPIA gender equality rating ,New business density ,"Labor force participation rate, total ","Labor force, total ","Total employment, total ",Unemployment with advanced education ,Unemployment with intermediate education ,"Unemployment, total ","Unemployment, youth total ","Literacy rate, adult total ","Literacy rate, youth total ","Government expenditure on education, total %GDP ",Labor force with advanced education ,Labor force with basic education ,Labor force with intermediate education ,"Primary completion rate, total ","School enrollment, primary ","School enrollment, secondary ","School enrollment, secondary ","School enrollment, tertiary ","School enrollment, tertiary ",Individuals using the Internet ,Research and development expenditure %GDP ,Researchers in R&D ,Technicians in R&D ,Age dependency ratio ,International migrant stock ,Population ages 0-14 ,"Population ages 0-14, total ",Population ages 15-64 ,"Population ages 15-64, total ",Population ages 65 and above ,"Population ages 65 and above, total ",Population density ,Population growth ,"Population, total ",Rural population ,Rural population ,Urban population ,Urban population ,Poverty headcount ratio at $1.90 a day ,"Agriculture, value added %GDP ","Agriculture, value added annual_growth ","Agriculture, value added ",Consumer price index ,GDP growth ,GDP per capita ,"GDP per capita, PPP ",GDP per person employed ,Gross capital formation %GDP ,Gross capital formation annual_growth ,"Gross fixed capital formation, private sector %GDP ","Industry, value added %GDP ","Industry, value added annual_growth ","Industry, value added ","Inflation, consumer prices ","Manufacturing, value added %GDP ","Manufacturing, value added annual_growth ","Manufacturing, value added ",Tax revenue %GDP ,Export value index ,Export volume index ,Exports of goods and services %GDP ,Exports of goods and services annual_growth ,"Foreign direct investment, net inflows %GDP ","Foreign direct investment, net outflows %GDP ",Fuel exports ,High-technology exports ,ICT goods imports ,Imports of goods and services %GDP ,"Personal remittances, paid ","Personal transfers, receipts ","Taxes on income, profits and capital gains "
2016-01-01,YR2016,Denmark,DNK,0,0.0,0.0,49.8318340674068,0.0,6,215.040983328832,169.934684181026,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,9.91363173408448,63.3059997558594,3024435.0,2837539.0,5.19110012054443,5.83150005340576,6.17999982833862,11.9340000152588,0.0,0.0,0.0,75.8078994750977,37.997501373291,63.0854988098145,103.882690429688,101.804832458496,129.119491577148,1.02947998046875,81.0567474365234,1.36467003822327,96.9677852516645,0.0,0.0,0.0,56.3115025198636,0.0,16.5943377562865,950525.0,63.9748103510759,3664484.0,19.4308518926376,1113001.0,135.535705835029,0.780392644135167,5728010.0,707867.0,12.358,5020143.0,87.642,0.0,0.800789172308106,-1.16456834532374,3908376044.06058,107.401124899563,1.96407712946747,60670.2372143145,45991.2247756847,92536.8203125,20.9773945503354,5.99639924654754,0.0,20.3379345796292,3.59015918016658,67957664149.2156,0.25,13.2697019596682,5.38470228370815,43126202975.6004,33.7391007191807,186.4266999,124.5901639,53.5840930278485,2.84005796458598,2.77911145826574,5.72317944862068,3.59253865128791,15.6724044174006,7.7170113345,47.39002943907,2903362923.92761,0.0,51.6638284624776
2016-01-01,YR2016,Ethiopia,ETH,3.66666666666667,3.0,3.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,3.7,3.0,3.0,0.0,82.3369979858398,49661396.0,47132396.0,0.0,0.0,5.09299993515015,7.2649998664856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3669238595896,0.0,0.0,0.0,80.5242358915546,0.0,41.1006664284189,42088396.0,55.39422421933,56725456.0,3.50510935225108,3589344.0,102.403196,2.50182137816318,102403196.0,82059777.0,80.134,20343419.0,19.866,0.0,34.8449101621578,2.58968821835819,17489488114.711,226.758762314343,7.56176669023149,511.187426515801,1608.29347611692,3488.81005859375,37.9986855055905,10.5785687859659,23.8821738402636,22.1014773463823,22.7623727427557,8304828464.70661,7.266076144,5.57792791302277,18.3902012898343,2773357931.17135,0.0,600.9959834,302.0200567,7.94801972649952,-8.14108472172961,5.46424632650681,0.0,0.0019081080354318,17.2435008060304,6.1534753141,27.5583169021532,29869539.2632146,772235946.595019,0.0
2016-01-01,YR2016,Finland,FIN,0,0.0,0.0,31.7047388422443,0.0,6,154.607851770147,94.7597706849328,0.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,3.94841780012987,58.4720001220703,2687198.0,2450198.0,5.68620014190674,9.18200016021729,8.81999969482422,20.0100002288818,0.0,0.0,0.0,73.3147964477539,20.4587993621826,60.5125999450684,100.888458251953,100.421920776367,152.168426513672,1.10206997394562,86.9920196533203,1.18516004085541,87.7036499599455,0.0,0.0,0.0,59.1234993772953,0.0,16.3703868996782,899602.0,62.8442675916187,3453483.0,20.785345508703,1142218.0,18.0831978676495,0.287421401687637,5495303.0,809183.0,14.725,4686120.0,85.275,0.0,2.31307902286199,3.10045473336089,6606229187.88437,109.177564613377,2.13538181526189,45983.3133332131,39659.1660392991,88288.6484375,21.8975497397728,6.28502802241793,0.0,23.3574172857586,2.15345638798408,59811008445.2402,0.3569705,14.5365731579021,1.85517439356968,37593788191.2786,21.0007739615244,124.8689787,93.43339587,36.0327751850324,3.52265527050164,1.88704870798974,7.66517238331147,7.67231086975305,8.44146076250197,7.2852779778,36.7747586584049,880858929.19618,84092063.4377225,28.1502405437613
2016-01-01,YR2016,France,FRA,0,0.0,0.0,104.380441132115,0.0,6,155.20042466732,97.6173040266216,87.5833254646163,0.0,46.7,0.0,0.0,0.0,0.0,0.0,1.83637303757735,55.4210014343262,30319992.0,27269447.0,5.84849977493286,10.9659996032715,10.0600004196167,24.4710006713867,0.0,0.0,0.0,75.8787002563477,24.2821006774902,58.1100997924805,0.0,0.0,0.0,0.0,0.0,0.0,79.27,0.0,0.0,0.0,60.0524272863093,0.0,18.1742778082249,12151280.0,62.4795270260561,41773667.0,19.346195165719,12934821.0,122.105585354584,0.399244807338297,66859768.0,13427447.0,20.083,53432321.0,79.917,0.0,1.45039325701527,-9.73890334724162,41095108202.7997,105.772580900597,1.18765038087423,41968.9815739992,38062.6397284874,93749.7734375,22.6857784909413,1.94934230095515,0.0,17.5638795854558,1.09669416766205,482356666633.145,0.183334861,10.3109709912374,1.50418366805378,295572314087.87,23.1451317617412,153.2687706,97.38317757,30.1554630596868,1.84793318990502,1.43634149692101,2.61185755338031,2.39780862475321,26.669379348586,6.6668940872,30.9734322668189,12527647227.7043,627398954.759134,49.0497377885053
2016-01-01,YR2016,Germany,DEU,0,0.0,0.0,118.797005824395,0.0,8,133.762344746426,77.2251713554174,49.3427840395663,100.0,1.9,0.0,0.0,0.0,0.0,0.0,1.30195024488152,60.4930000305176,43294640.0,41510409.0,2.25909996032715,3.29679989814758,4.11999988555908,7.03200006484985,0.0,0.0,0.0,74.28759765625,29.4013004302979,60.973201751709,0.0,0.0,0.0,0.0,0.0,0.0,89.6471005903368,0.0,0.0,0.0,52.3439752792884,0.0,13.0894633869742,10778999.0,65.640928159976,54054431.0,21.2696084530498,17515239.0,236.023700200631,0.807218538573871,82348669.0,18755733.0,22.776,63592936.0,77.224,0.0,0.553171864315135,-0.577185433938496,20954487488.8628,107.417284773731,1.94362542781317,45923.0075696152,44431.8228379944,88234.5,19.1978817130771,2.14073185640198,0.0,27.4659436077671,1.87321456607567,1052042660382.81,0.483355422,20.6354224646555,2.14104736141039,797484359590.959,11.2420603998028,243.0484804,155.9943583,46.1192411062165,2.63031215240382,1.66935764076614,2.62295451071848,1.7296536936629,16.9051898591463,8.4256169304,38.1480256357246,20289740177.9681,5286297.1784984,44.077622108551
2016-01-01,YR2016,Greece,GRC,0,0.0,0.0,59.4354923490767,0.0,7,126.033827632035,108.782319601983,19.2863626335115,79.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.1590003967285,4906562.0,3751523.0,22.2313995361328,32.6072998046875,23.5400009155273,47.2779998779297,0.0,0.0,0.0,76.6423034667969,24.0405006408691,52.9658012390137,0.0,0.0,0.0,0.0,0.0,0.0,69.0879154723892,0.0,0.0,0.0,52.7588671544303,0.0,14.3466983603661,1545996.0,65.4626512332753,7054236.0,20.1906504063587,2175739.0,83.5994647013189,-0.415913028277122,10775971.0,2329011.0,21.613,8446960.0,78.387,0.0,3.45722901760207,-8.7566508895809,8367209903.66287,99.9393182539128,-0.24431474084669,22687.6003260908,24211.7408896851,66972.4765625,10.6098628583241,7.41997883325971,0.0,14.2339903997723,8.70827432986128,33391088747.1762,-0.825657581,8.59973903712919,8.53492705431343,20401743974.8506,26.6970129257819,240.1221107,186.962552,30.458732552658,-1.8204842988866,1.58844378045947,-0.818162777847834,27.5197754805325,11.4442841031658,4.6677097736,31.1811364663292,718239271.525227,183168203.060144,34.1396809013891
2016-01-01,YR2016,India,IND,0,0.0,0.0,21.2357749214797,0.0,7,75.033801729654,49.5452998484093,68.8884012220315,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.107476831889666,53.9290008544922,512765199.0,494794795.0,0.0,0.0,3.50500011444092,10.4680004119873,0.0,0.0,0.0,0.0,0.0,0.0,96.3097991943359,114.525283813477,75.1767120361328,1.01658999919891,26.9285907745361,1.00215995311737,29.5471628858754,0.0,0.0,0.0,51.5228471113059,0.0,28.1954475810236,373356040.0,65.996647968568,873908707.0,5.80790445040846,76906607.0,445.370579747678,1.14821469272737,1324171354.0,884784815.0,66.818,439386539.0,33.182,0.0,16.2845948141203,6.28583327135016,348340943219.625,154.975111653744,7.11268609726157,1862.43044438379,6095.72279590336,16306.7646484375,30.3473430441823,4.70264720515135,24.7765941020793,26.5778659241198,6.77961044246895,722403473006.196,4.941447235,15.2698550606223,7.89559025594806,419028820124.445,0.0,623.8952036,443.9709283,19.3149223942124,5.37354351718096,1.9548848271548,0.221934160044368,10.7712449865161,7.12968947378722,9.3333408142,21.0342569113491,5622661095.68052,59083771821.771,0.0
2016-01-01,YR2016,Iraq,IRQ,0,0.0,0.0,2.40032058519002,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94080113911128,46.265998840332,10234985.0,9420452.0,0.0,0.0,7.90899991989136,16.1490001678467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.23,0.0,0.0,0.0,77.4702835344961,0.0,40.5362484077714,15080527.0,56.3474616754992,20962705.0,3.11628991672941,1159340.0,85.6570547062074,2.96516369602359,37202572.0,11125801.0,29.906,26076771.0,70.094,0.0,5.1,59.5999992370584,6886302607.13114,119.162133246087,11.0000000000001,5750.61136059944,16242.0690194963,63494.8359375,20.5551393130466,0.0,9.2,37.3,18.61548442755,135590856780.465,0.0,2.09490527873705,5.89999999690501,1783436544.70501,2.01859897726421,215.3581943,186.4643593,32.5216609864216,0.0,0.0853699062654169,0.177445781943759,99.98648514051,0.0,0.0,40.8993339417788,349600000.0,941300000.0,63.7920607505454
2016-01-01,YR2016,Ireland,IRL,0,0.0,0.0,90.2556630899203,0.0,7,98.8321900546183,47.4497862770991,39.3113879195747,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71368076658263,60.3849983215332,2248289.0,2070876.0,4.9362998008728,9.61970043182373,7.8899998664856,17.0690002441406,0.0,0.0,0.0,78.1555023193359,20.1861000061035,60.1775016784668,0.0,100.764488220215,126.150581359863,1.02455997467041,0.0,0.0,85.0111321151019,0.0,0.0,0.0,54.5165857204269,0.0,21.703598628715,1032079.0,64.7179754544889,3077557.0,13.5784259167961,645700.0,69.027943097692,1.12883406399428,4755335.0,1771980.0,37.263,2983355.0,62.737,0.0,0.924812867718969,12.956033957682,3282898446.5992,104.722971209881,5.14146015448682,69892.3156470839,63227.2079765883,145705.796875,32.6762846508164,59.1647305709415,0.0,36.418908498148,2.97796348685884,114618458771.134,0.0,32.1394027080882,2.70872609944144,105419608183.9,18.7823582713611,166.9323794,130.3322615,121.582355077947,4.61273170892366,25.9706083975334,33.5242483856981,0.580671154871847,29.0897906121416,8.5756498245,99.5756605197065,1541417451.93876,0.0,54.1732679006144
2016-01-01,YR2016,Indonesia,IDN,0,0.0,0.0,54.745027175833,446.448944191818,6,47.9361711047711,39.3864004742342,45.6706681168263,0.0,51.8,0.0,0.0,0.0,0.0,0.0,0.333015857000371,66.3720016479492,125383553.0,120218743.0,5.44680023193359,7.97650003433228,4.11999988555908,14.918999671936,95.3769683837891,99.6688079833984,0.0,79.9269027709961,44.9110984802246,51.8002014160156,98.8190612792969,103.455039978027,86.0477066040039,1.03696000576019,27.9394702911377,1.1132800579071,25.45,0.0,0.0,0.0,48.9295745802177,0.0,27.6525748824306,72205147.0,67.1458306933772,175328142.0,5.20159442419219,13582167.0,144.137657391103,1.13749371067244,261115456.0,120141832.0,46.011,140973624.0,53.989,6.5,13.471110915125,3.35517016664365,133189448736.179,136.965666608222,5.0332795915301,3974.73166690467,10766.3714478177,23380.791015625,33.8449919147498,4.98587001229826,0.0,39.2931954810074,3.82507955323941,420681465205.845,3.525805157,20.5146275694663,4.25651004593767,221868059908.651,10.3321451061155,221.4578842,113.2170344,19.1209518518101,-1.56782505786558,0.487174266144051,-1.2436708501078,19.3036301900685,5.78637684993437,7.9668821636,18.31794264625,5150593774.53716,8687362229.53866,51.9710534521193
