Time,Time Code,Country Name,Country Code,Gender,Labor force participation rate  ,Unemployment with advanced education  ,Unemployment with intermediate education  ,Unemployment  ,Unemployment youth  ,Life expectancy at birth  ,Literacy rate adult  ,Literacy rate youth  ,Labor force with advanced education  ,Labor force with basic education  ,Labor force with intermediate education  ,Primary completion rate  ,School enrollment primary  ,School enrollment secondary  ,School enrollment tertiary  
2016-01-01,YR2016,Algeria,DZA,female,15.125,0.0,0.0,18.5990009307861,41.6570014953613,77.333,0.0,0.0,0.0,0.0,0.0,105.371856689453,110.609649658203,0.0,53.6224212646484
2016-01-01,YR2016,Argentina,ARG,female,47.4300003051758,0.0,0.0,9.55700016021729,25.3560009002686,80.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,YR2016,Australia,AUS,female,59.2400016784668,0.0,0.0,5.78499984741211,11.4060001373291,84.6,0.0,0.0,0.0,0.0,0.0,0.0,101.317741394043,142.655776977539,144.09928894043
2016-01-01,YR2016,Austria,AUT,female,54.9469985961914,3.77069997787476,6.0770001411438,5.53599977493286,10.2220001220703,83.4,0.0,0.0,76.0018997192383,48.5774002075195,67.972297668457,99.5990524291992,101.997108459473,98.9174118041992,90.8258895874023
2016-01-01,YR2016,Belgium,BEL,female,47.765998840332,3.99219989776611,7.89499998092651,7.55999994277954,18.1219997406006,83.4,0.0,0.0,74.8947982788086,36.7140007019043,66.4462966918945,0.0,0.0,0.0,0.0
2016-01-01,YR2016,Bangladesh,BGD,female,32.8899993896484,6.94000005722046,7.63000011444092,7.19199991226196,13.8479995727539,74.294,69.8972091674805,93.5353164672852,88.6900024414063,82.1999969482422,69.3899993896484,0.0,122.111976623535,72.4972915649414,14.2425003051758
2016-01-01,YR2016,Brazil,BRA,female,53.3219985961914,5.36870002746582,11.271900177002,13.4689998626709,31.4790000915527,79.139,0.0,0.0,87.4931030273438,61.6342010498047,84.7265014648438,0.0,0.0,0.0,0.0
2016-01-01,YR2016,Canada,CAN,female,60.806999206543,5.92689990997314,9.09860038757324,6.23899984359741,11.3009996414185,84.253,0.0,0.0,78.1118011474609,51.3189010620117,70.3230972290039,0.0,101.472320556641,113.887832641602,0.0
2016-01-01,YR2016,China,CHN,female,62.0340003967285,0.0,0.0,4.13100004196167,9.6569995880127,77.833,0.0,0.0,0.0,0.0,0.0,0.0,101.176712036133,0.0,53.2629318237305
2016-01-01,YR2016,Colombia,COL,female,58.6230010986328,9.56350040435791,7.55530023574829,10.6540002822876,22.0380001068115,77.996,0.0,0.0,83.411003112793,77.9847030639648,86.5027008056641,100.71159362793,112.222099304199,101.244400024414,63.1371383666992
2016-01-01,YR2016,Denmark,DNK,female,59.3120002746582,4.57429981231689,4.62260007858276,6.63800001144409,10.8690004348755,82.6,0.0,0.0,78.5915985107422,54.3032989501953,69.9487991333008,102.661109924316,101.191459655762,131.049926757813,93.9538269042969
2016-01-01,YR2016,Ethiopia,ETH,female,76.9970016479492,0.0,0.0,7.3730001449585,9.72700023651123,67.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,YR2016,Finland,FIN,female,54.9539985656738,5.97959995269775,9.76029968261719,8.58100032806396,18.4839992523193,84.7,0.0,0.0,75.2360992431641,33.4810981750488,70.8258972167969,101.105728149414,100.192352294922,159.746994018555,94.5181427001953
2016-01-01,YR2016,France,FRA,female,50.6749992370605,5.52540016174316,10.4106998443604,9.84799957275391,23.9139995574951,85.5,0.0,0.0,78.9344024658203,37.6060981750488,65.3559036254883,0.0,0.0,0.0,0.0
2016-01-01,YR2016,Germany,DEU,female,54.9599990844727,2.13439989089966,4.05970001220703,3.74000000953674,6.09499979019165,83.1,0.0,0.0,73.3721008300781,50.4499015808105,68.5082015991211,0.0,0.0,0.0,0.0
2016-01-01,YR2016,Greece,GRC,female,45.7019996643066,13.3858995437622,21.2108001708984,28.1679992675781,50.7400016784668,83.7,0.0,0.0,75.7799987792969,44.2771987915039,68.9878997802734,0.0,0.0,0.0,0.0
2016-01-01,YR2016,India,IND,female,27.4479999542236,0.0,0.0,4.15999984741211,11.4359998703003,70.166,0.0,0.0,0.0,0.0,0.0,98.6105422973633,123.87393951416,75.8290634155273,26.9591808319092
2016-01-01,YR2016,Iraq,IRQ,female,18.4829998016357,0.0,0.0,11.8809995651245,24.1609992980957,72.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,YR2016,Ireland,IRL,female,53.2410011291504,5.00269985198975,9.95670032501221,6.52099990844727,14.5349998474121,83.4,0.0,0.0,85.7827987670898,43.4616012573242,77.3313980102539,0.0,100.752708435059,127.715393066406,0.0
2016-01-01,YR2016,Indonesia,IDN,female,50.7620010375977,4.48019981384277,7.32189989089966,3.69400000572205,14.9139995574951,71.364,93.5869216918945,99.6535110473633,91.6752014160156,77.581298828125,85.9564971923828,99.0985488891602,101.413330078125,87.6569290161133,29.4698104858398
2016-01-01,YR2016,Israel,ISR,female,59.3720016479492,0.0,0.0,4.94299983978271,9.04599952697754,84.2,0.0,0.0,0.0,0.0,0.0,102.654960632324,104.111976623535,104.956840515137,75.1793899536133
2016-01-01,YR2016,Japan,JPN,female,50.5999984741211,0.0,0.0,2.83999991416931,4.4980001449585,87.14,0.0,0.0,85.3899993896484,0.0,67.0699996948242,0.0,0.0,0.0,0.0
2016-01-01,YR2016,"Korea, Rep.",KOR,female,52.234001159668,0.0,0.0,3.60599994659424,10.4010000228882,85.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
