Time,Time Code,Country Name,Country Code,gender,employer_pct,industry_pct,service_pct,agriculture_pct,laborforce_pct,advance_education_pct,intermediate_education_pct,basic_education_pct,wages_and_salaries_pct,Laborforce_pop_total,Population_total,Population_density
2000-01-01,YR2000,United States,USA,female,2.24000000953674,23.32200050354,74.8440017700195,2.56900000572205,59.0229988098145,84.5529022216797,73.5848007202148,51.9124984741211,91.5859985351563,146767599.0,282162411.0,30.7973013298523
2000-01-01,YR2000,United Kingdom,GBR,female,1.67200005054474,25.1669998168945,73.2979965209961,2.1710000038147,53.5540008544922,92.1563034057617,86.192497253418,76.8231964111328,92.1419982910156,29295681.0,58892514.0,243.427908899268
2000-01-01,YR2000,European Union,EUU,female,2.77148652110681,29.3917528000509,62.6663096003983,8.35948639556747,47.7031810128057,82.3194854111433,75.8696355984131,55.7980557240972,85.157377733118,228526899.0,488178832.0,115.084593201228
2000-01-01,YR2000,Europe & Central Asia,ECS,female,2.44404448502283,27.9879700701973,57.2329728326121,14.8532197057291,48.672821960695,0.0,0.0,0.0,81.3722093448129,397686380.0,862304086.0,31.4146098264201
2000-01-01,YR2000,Canada,CAN,female,3.2739999294281,22.4750003814697,74.2369995117188,4.47800016403198,58.6479988098145,82.8255004882813,77.1270980834961,60.4964981079102,87.6360015869141,16235249.0,30769700.0,3.38369892373792
2000-01-01,YR2000,Colombia,COL,female,2.26999998092651,18.121000289917,60.2630004882813,29.2819995880127,41.7190017700195,0.0,0.0,0.0,51.5859985351563,16763818.0,40403958.0,36.4163659305994
2000-01-01,YR2000,Mexico,MEX,female,1.98199999332428,27.0130004882813,55.3199996948242,22.9540004730225,38.882999420166,0.0,0.0,0.0,64.5950012207031,40336388.0,101719673.0,52.32628051133
2000-01-01,YR2000,Latin America & Caribbean,LCN,female,2.34433771436495,21.4118186037223,57.8104240244295,25.3310318401444,46.5683797731763,0.0,0.0,0.0,65.8611171291592,223198210.0,524829251.0,26.1854983791541
2000-01-01,YR2000,North America,NAC,female,2.34075536245358,23.2398914963383,74.7851583867666,2.75325835622258,58.9853274689264,84.3803651673521,73.9386139304231,52.7698890755822,91.2011016614869,163002848.0,312993944.0,17.1452048371229
2000-01-01,YR2000,East Asia & Pacific,EAS,female,0.793701561095605,25.4351612884165,32.7125406908783,39.8346380163552,64.9249538972467,0.0,0.0,0.0,43.8566879764509,1117548732.0,2047150745.0,83.9431403986083
2000-01-01,YR2000,South Asia,SAS,female,0.51350980713771,15.8100752780401,24.7204697167716,54.041875138852,32.259981517081,86.7328033447266,69.290397644043,78.4250030517578,11.6176740317251,520225780.0,1386625845.0,290.49870423987
2000-01-01,YR2000,Europe & Central Asia (excluding high income),ECA,female,1.77189990110819,26.27607881662,47.6407509851456,25.76001022595,50.032995318546,0.0,0.0,0.0,74.356888479182,177857206.0,392657969.0,17.3515496676427
2000-01-01,YR2000,East Asia & Pacific (excluding high income),EAP,female,0.710128827354212,24.8975361594812,29.048207426249,44.0687036575604,67.1966746464267,0.0,0.0,0.0,40.18589902091,999391535.0,1815956211.0,114.103724483128
2001-01-01,YR2001,United States,USA,female,2.19400000572205,22.6070003509521,75.681999206543,2.36400008201599,58.806999206543,84.5616989135742,72.7469024658203,51.8759002685547,91.7030029296875,147741226.0,284968955.0,31.1036283879362
2001-01-01,YR2001,United Kingdom,GBR,female,1.62600004673004,24.6399993896484,73.9680023193359,1.9889999628067,53.3740005493164,92.4166030883789,85.3774032592773,75.7078018188477,92.5449981689453,29259367.0,59119673.0,244.366854048692
2001-01-01,YR2001,European Union,EUU,female,2.68767402565522,29.094251218122,63.2312993346918,8.10356302616797,47.6672726329547,82.2549140669061,75.4682907088541,53.1005498581108,85.2842019775205,228855148.0,489155665.0,115.329284103793
2001-01-01,YR2001,Europe & Central Asia,ECS,female,2.43036064597672,27.9790068955975,57.9415160732343,14.1556013730454,48.4440156308242,0.0,0.0,0.0,81.722819924331,397276632.0,863615632.0,31.4640322270965
2001-01-01,YR2001,Canada,CAN,female,2.93899989128113,22.3689994812012,74.8010025024414,3.91499996185303,58.9490013122559,82.3992004394531,77.0263977050781,59.4907989501953,88.786003112793,16492176.0,31081900.0,3.41803110130192
2001-01-01,YR2001,Colombia,COL,female,2.27800011634827,18.4340000152588,59.3680000305176,30.625,43.2439994812012,0.0,0.0,0.0,51.685001373291,17406537.0,40988909.0,36.9435863001352
2001-01-01,YR2001,Mexico,MEX,female,1.88399994373322,26.0499992370605,56.3009986877441,23.257999420166,38.1800003051758,0.0,0.0,0.0,64.2679977416992,40703848.0,103067068.0,53.0194027624167
2001-01-01,YR2001,Latin America & Caribbean,LCN,female,2.504784157854,20.9531113419405,58.5436425141485,25.1113236976648,47.2164775428889,0.0,0.0,0.0,61.4982910960471,228655461.0,532172709.0,26.5518882234511
2001-01-01,YR2001,North America,NAC,female,2.26758566570064,22.5836639366927,75.5956158917695,2.51513710382615,58.821293475718,84.3435440785383,73.1786218816394,52.644098251392,91.4148829435716,164233402.0,316113359.0,17.3160803769608
2001-01-01,YR2001,East Asia & Pacific,EAS,female,0.805508756603879,25.4850040508746,33.7398436839143,38.7989390420536,64.4547558971066,0.0,0.0,0.0,44.6629646950568,1129896288.0,2065521836.0,84.6953672087001
2001-01-01,YR2001,South Asia,SAS,female,0.436911460189225,15.6209234067041,24.9187327528552,54.0584427310566,32.6835660263832,0.0,0.0,0.0,11.2655611250391,534743002.0,1412104373.0,295.836466691527
