Time,Time Code,Country Name,Country Code,"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Individuals using the Internet (% of population) [IT.NET.USER.ZS],Labor force with advanced education (% of total working-age population with advanced education) [SL.TLF.ADVN.ZS],"Labor force with advanced education, female (% of female working-age population with advanced education) [SL.TLF.ADVN.FE.ZS]","Labor force with advanced education, male (% of male working-age population with advanced education) [SL.TLF.ADVN.MA.ZS]",Labor force with basic education (% of total working-age population with basic education) [SL.TLF.BASC.ZS],"Labor force with basic education, female (% of female working-age population with basic education) [SL.TLF.BASC.FE.ZS]","Labor force with basic education, male (% of male working-age population with basic education) [SL.TLF.BASC.MA.ZS]",Labor force with intermediate education (% of total working-age population with intermediate education) [SL.TLF.INTM.ZS],"Labor force with intermediate education, female (% of female working-age population with intermediate education) [SL.TLF.INTM.FE.ZS]","Labor force with intermediate education, male (% of male working-age population with intermediate education) [SL.TLF.INTM.MA.ZS]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]",Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],"Literacy rate, adult female (% of females ages 15 and above) [SE.ADT.LITR.FE.ZS]","Literacy rate, adult male (% of males ages 15 and above) [SE.ADT.LITR.MA.ZS]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Literacy rate, youth female (% of females ages 15-24) [SE.ADT.1524.LT.FE.ZS]","Literacy rate, youth male (% of males ages 15-24) [SE.ADT.1524.LT.MA.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]","Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","Primary completion rate, female (% of relevant age group) [SE.PRM.CMPT.FE.ZS]","Primary completion rate, male (% of relevant age group) [SE.PRM.CMPT.MA.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]",Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS],Researchers in R&D (per million people) [SP.POP.SCIE.RD.P6],"School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, primary, female (% gross) [SE.PRM.ENRR.FE]","School enrollment, primary, male (% gross) [SE.PRM.ENRR.MA]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, secondary (gross), gender parity index (GPI) [SE.ENR.SECO.FM.ZS]","School enrollment, secondary, female (% gross) [SE.SEC.ENRR.FE]","School enrollment, secondary, male (% gross) [SE.SEC.ENRR.MA]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","School enrollment, tertiary (gross), gender parity index (GPI) [SE.ENR.TERT.FM.ZS]","School enrollment, tertiary, female (% gross) [SE.TER.ENRR.FE]","School enrollment, tertiary, male (% gross) [SE.TER.ENRR.MA]",Technicians in R&D (per million people) [SP.POP.TECH.RD.P6],CPIA social protection rating (1=low to 6=high) [IQ.CPA.PROT.XQ]
2016,YR2016,Denmark,DNK,4.1856,1.71,..,96.9677852516645,75.8078994750977,78.5915985107422,77.0628967285156,37.997501373291,54.3032989501953,46.0429992675781,63.0854988098145,69.9487991333008,66.6971969604492,82.6,78.9,..,..,..,..,..,..,..,0.1,102.661109924316,105.058212280273,103.882690429688,..,..,101.804832458496,101.191459655762,102.387969970703,129.119491577148,1.02947998046875,131.049926757813,127.297119140625,81.0567474365234,1.36467003822327,93.9538269042969,68.8472671508789,..,..
2016,YR2016,Ethiopia,ETH,64.8554,4.198,..,15.3669238595896,..,..,..,..,..,..,..,..,..,67.366,63.617,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.5
2016,YR2016,Finland,FIN,6.8998,1.65,..,87.7036499599455,73.3147964477539,75.2360992431641,74.144401550293,20.4587993621826,33.4810981750488,26.8724994659424,60.5125999450684,70.8258972167969,65.9533004760742,84.7,79,..,..,..,..,..,..,..,..,101.105728149414,100.680297851563,100.888458251953,..,..,100.421920776367,100.192352294922,100.641792297363,152.168426513672,1.10206997394562,159.746994018555,144.951187133789,86.9920196533203,1.18516004085541,94.5181427001953,79.7512893676758,..,..
2016,YR2016,France,FRA,8.8022,1.96,..,79.27,75.8787002563477,78.9344024658203,77.2889022827148,24.2821006774902,37.6060981750488,30.2266006469727,58.1100997924805,65.3559036254883,61.8478012084961,85.5,79.2,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2016,YR2016,Germany,DEU,6.8406,1.5,..,89.6471005903368,74.28759765625,73.3721008300781,73.7539978027344,29.4013004302979,50.4499015808105,38.0371017456055,60.973201751709,68.5082015991211,64.6239013671875,83.1,78.3,..,..,..,..,..,..,..,0.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2016,YR2016,Greece,GRC,7.4862,1.33,..,69.0879154723892,76.6423034667969,75.7799987792969,76.2273025512695,24.0405006408691,44.2771987915039,33.8582000732422,52.9658012390137,68.9878997802734,60.9483985900879,83.7,78.5,..,..,..,..,..,..,..,0.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2016,YR2016,India,IND,24.5354,2.326,..,29.5471628858754,..,..,..,..,..,..,..,..,..,70.166,67.094,..,..,..,..,..,..,..,0.2,98.6105422973633,94.2506637573242,96.3097991943359,..,..,114.525283813477,123.87393951416,106.148910522461,75.1767120361328,1.01658999919891,75.8290634155273,74.5919036865234,26.9285907745361,1.00215995311737,26.9591808319092,26.9009990692139,..,..
2016,YR2016,Iraq,IRQ,79.799,4.37,..,21.23,..,..,..,..,..,..,..,..,..,72.104,67.648,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2016,YR2016,Ireland,IRL,10.1352,1.92,..,85.0111321151019,78.1555023193359,85.7827987670898,81.5799026489258,20.1861000061035,43.4616012573242,32.4171981811523,60.1775016784668,77.3313980102539,68.734001159668,83.4,79.9,..,..,..,..,..,..,..,0.2,..,..,..,..,..,100.764488220215,100.752708435059,100.775688171387,126.150581359863,1.02455997467041,127.715393066406,124.654251098633,..,..,..,..,..,..
2016,YR2016,Indonesia,IDN,47.9942,2.363,..,25.45,79.9269027709961,91.6752014160156,85.5942993164063,44.9110984802246,77.581298828125,61.2333984375,51.8002014160156,85.9564971923828,70.7033996582031,71.364,67.15,..,93.5869216918945,97.1744384765625,95.3769683837891,99.6535110473633,99.6834487915039,99.6688079833984,0.4,99.0985488891602,98.5562515258789,98.8190612792969,..,..,103.455039978027,101.413330078125,105.395668029785,86.0477066040039,1.03696000576019,87.6569290161133,84.5327072143555,27.9394702911377,1.1132800579071,29.4698104858398,26.4712104797363,..,..
2016,YR2016,Israel,ISR,9.6814,3.11,..,79.6531241815281,..,..,..,..,..,..,..,..,..,84.2,80.7,..,..,..,..,..,..,..,..,102.654960632324,102.239738464355,102.441673278809,..,..,103.629051208496,104.111976623535,103.171859741211,104.046600341797,1.01716995239258,104.956840515137,103.185256958008,64.1639099121094,1.39932000637054,75.1793899536133,53.7255706787109,..,..
2016,YR2016,Japan,JPN,4.1582,1.44,..,93.1827212821617,69.6600036621094,85.3899993896484,77.7200012207031,..,..,..,42.4700012207031,67.0699996948242,53.7799987792969,87.14,80.98,..,..,..,..,..,..,..,0.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2016,YR2016,"Korea, Rep.",KOR,1.6676,1.172,..,92.8430256796075,..,..,..,..,..,..,..,..,..,85.2,79,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2016,YR2016,Italy,ITA,6.1562,1.35,..,61.3242527666303,72.8825988769531,77.1970977783203,74.7969970703125,22.6338996887207,46.6184005737305,34.4029006958008,56.2622985839844,72.0615005493164,64.2109985351563,84.9,80.3,..,..,..,..,..,..,..,0.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2016,YR2016,Kuwait,KWT,9.3952,1.97,..,78.36738376,..,..,..,..,..,..,..,..,..,75.993,73.799,..,..,..,..,..,..,..,0.1,104.291572570801,97.3590316772461,100.657920837402,..,..,100.627990722656,102.652412414551,98.7596282958984,..,..,..,..,..,..,..,..,..,..
2016,YR2016,Malaysia,MYS,13.361,2.037,4.82753992080688,78.7883099275229,65.9400024414063,72.9499969482422,69.25,47.5,86.4100036621094,69.0899963378906,53.0999984741211,79.4100036621094,66.9199981689453,77.7,73.161,..,..,..,..,..,..,..,0.4,101.54615020752,99.6263809204102,100.561378479004,..,..,103.484672546387,103.84107208252,103.146347045898,85.1648025512695,1.0636500120163,87.8679809570313,82.6094818115234,44.1166915893555,1.19929003715515,48.283618927002,40.2602310180664,..,..
2016,YR2016,Mexico,MEX,61.4052,2.184,..,59.5404459967255,71.5052032470703,86.6574020385742,79.1174011230469,39.2219009399414,76.7379989624023,57.3009986877441,49.5004997253418,79.538200378418,63.4109001159668,79.538,74.715,..,..,..,..,..,..,..,0.3,102.143676757813,100.56273651123,101.332672119141,..,..,103.932769775391,104.226852416992,103.652069091797,97.2714691162109,1.08606004714966,101.36109161377,93.3290481567383,36.8507385253906,1.02186000347137,37.2546081542969,36.4577407836914,..,..
2016,YR2016,Netherlands,NLD,4.084,1.66,..,90.4109589041096,79.6679992675781,80.3738021850586,80.029296875,35.4336013793945,56.0615997314453,44.7597007751465,66.7507019042969,72.7660980224609,69.8466033935547,83.2,79.9,..,..,..,..,..,..,..,0.2,..,..,..,..,..,103.286758422852,103.290390014648,103.283332824707,132.691650390625,1.01658999919891,133.812026977539,131.62858581543,80.3648376464844,1.12894999980927,85.3462677001953,75.5978393554688,..,..
2016,YR2016,Nigeria,NGA,109.274,5.526,..,25.67,..,..,..,..,..,..,..,..,..,54.222,52.66,..,..,..,..,..,..,..,2.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4
2016,YR2016,New Zealand,NZL,20.6034,1.87,..,88.470186347099,..,..,..,..,..,..,..,..,..,83.4,79.91,..,..,..,..,..,..,..,0.1,..,..,..,..,..,98.8183364868164,99.1989364624023,98.4601364135742,114.332427978516,1.06131994724274,117.821830749512,111.013999938965,81.7504501342773,1.41427004337311,96.3880310058594,68.1539688110352,..,..
2016,YR2016,Norway,NOR,5.6814,1.72,..,97.2982036675068,83.9776000976563,84.9154968261719,84.4117965698242,46.0353012084961,55.606201171875,51.0243988037109,64.5425033569336,74.7994003295898,70.1313018798828,84.2,80.9,..,..,..,..,..,..,..,0.1,100.568412780762,101.132308959961,100.855430603027,..,..,100.225883483887,100.110420227051,100.336219787598,114.276786804199,0.970449984073639,112.516586303711,115.942596435547,80.5465393066406,1.47750997543335,96.6370010375977,65.4053802490234,..,..
2016,YR2016,Pakistan,PAK,37.6912,3.481,2.49180006980896,15.5145577897414,..,..,..,..,..,..,..,..,..,67.52,65.514,..,..,..,..,..,..,..,0.1,64.5692291259766,77.6243209838867,71.3455276489258,..,..,97.7096176147461,89.6948165893555,105.165229797363,46.1091804504395,0.810620009899139,41.1161918640137,50.7216415405273,9.73349952697754,0.870389997959137,9.04002952575684,10.3861398696899,..,3.5
2016,YR2016,Peru,PER,48.4014,2.4,3.80698990821838,45.4617406869459,79.5418014526367,91.3912963867188,85.1297988891602,45.850399017334,62.986198425293,53.7840003967285,61.5542984008789,81.2429962158203,71.5625991821289,77.659,72.366,..,91.1885299682617,97.1884613037109,94.1736679077148,98.6722030639648,99.0888671875,98.8834915161133,0.3,103.060943603516,102.512626647949,102.780952453613,..,..,103.135429382324,103.307876586914,102.969802856445,98.014762878418,0.996940016746521,97.8610687255859,98.1613464355469,..,..,..,..,..,..
