Time,Time Code,Country Name,Country Code,Age dependency ratio (% of working-age population) ,"Agriculture, value added (% of GDP) ","Agriculture, value added (annual % growth) ","Agriculture, value added (constant 2005 US$) ",Consumer price index (2010 = 100) ,Export value index (2000 = 100) ,Export volume index (2000 = 100) ,Exports of goods and services (% of GDP) ,Exports of goods and services (annual % growth) ,"Foreign direct investment, net inflows (% of GDP) ","Foreign direct investment, net outflows (% of GDP) ",Fuel exports (% of merchandise exports) ,GDP growth (annual %) ,GDP per capita (constant 2005 US$) ,"GDP per capita, PPP (constant 2011 international $) ",GDP per person employed (constant 1990 PPP $) ,GINI index (World Bank estimate) ,Gross capital formation (% of GDP) ,Gross capital formation (annual % growth) ,"Gross fixed capital formation, private sector (% of GDP) ",High-technology exports (% of manufactured exports) ,ICT goods imports (% total goods imports) ,Imports of goods and services (% of GDP) ,"Industry, value added (% of GDP) ","Industry, value added (annual % growth) ","Industry, value added (constant 2005 US$) ","Inflation, consumer prices (annual %) ",International migrant stock (% of population) ,"Manufacturing, value added (% of GDP) ","Manufacturing, value added (annual % growth) ","Manufacturing, value added (constant 2005 US$) ","Personal remittances, paid (current US$) ","Personal transfers, receipts (BoP, current US$) ",Population ages 0-14 (% of total) ,"Population ages 0-14, total ",Population ages 15-64 (% of total) ,"Population ages 15-64, total ",Population ages 65 and above (% of total) ,"Population ages 65 and above, total ",Population density (people per sq. km of land area) ,Population growth (annual %) ,"Population, total ",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) ,Rural population ,Rural population (% of total population) ,Tax revenue (% of GDP) ,Urban population ,Urban population (% of total) 
2016-01-01,YR2016,Ireland,IRL,54.5165857204269,0.924812867718969,12.956033957682,3282898446.5992,104.722971209881,166.9323794,130.3322615,121.582355077947,4.61273170892366,25.9706083975334,33.5242483856981,0.580671154871847,5.14146015448682,69892.3156470839,63227.2079765883,145705.796875,,32.6762846508164,59.1647305709415,,29.0897906121416,8.5756498245,99.5756605197065,36.418908498148,2.97796348685884,114618458771.134,0.0,,32.1394027080882,2.70872609944144,105419608183.9,1541417451.93876,0.0,21.703598628715,1032079.0,64.7179754544889,3077557.0,13.5784259167961,645700.0,69.027943097692,1.12883406399428,4755335.0,,1771980.0,37.263,18.7823582713611,2983355.0,62.737
2016-01-01,YR2016,Indonesia,IDN,48.9295745802177,13.471110915125,3.35517016664365,133189448736.179,136.965666608222,221.4578842,113.2170344,19.1209518518101,-1.56782505786558,0.487174266144051,-1.2436708501078,19.3036301900685,5.0332795915301,3974.73166690467,10766.3714478177,23380.791015625,,33.8449919147498,4.98587001229826,,5.78637684993437,7.9668821636,18.31794264625,39.2931954810074,3.82507955323941,420681465205.845,3.525805157,,20.5146275694663,4.25651004593767,221868059908.651,5150593774.53716,8687362229.53866,27.6525748824306,72205147.0,67.1458306933772,175328142.0,5.20159442419219,13582167.0,144.137657391103,1.13749371067244,261115456.0,6.5,120141832.0,46.011,10.3321451061155,140973624.0,53.989
2016-01-01,YR2016,Israel,ISR,64.9499022093752,1.16816335386486,4.05909225656902,3426582054.02514,106.138819613945,191.56737,132.1331986,30.2672893653797,2.54531249270715,3.74592983686018,4.11392638872621,1.37846008149233,4.09433559145762,33677.4619451632,32688.4081041526,77191.015625,,20.4830902775771,8.08985365342775,,18.3810595760932,10.8764530351,28.1786848855617,18.6723082209744,2.34255742400451,52678762904.5199,-0.544936284,,11.6808159979071,1.11219968738247,33517060256.7531,5206300000.0,0.0,27.9056029985005,2384813.0,60.6244662363516,5180967.0,11.4699307651479,980220.0,394.916820702403,1.9603489624817,8546000.0,,661802.0,7.744,23.3730593416255,7884198.0,92.256
2016-01-01,YR2016,Japan,JPN,65.290106306176,1.1503293367689,-13.1068849799805,51369436269.9878,103.47923681257,134.5514458,104.9625178,16.1191525683736,1.33853063786331,0.794528059194625,3.51417557992575,1.41410732210395,0.938193886449625,47660.8930390239,38282.5046733349,74554.953125,,23.5642844646574,0.276752842054748,,16.2207455666725,13.0107674347,15.1474298805934,29.3004606963226,1.98933146356003,1721565002514.53,-0.116666667,,21.0489523736651,1.96338917877912,1288067785153.49,5066869685.05946,3673006450.15015,12.9357482227601,16427690.0,60.4996889474557,76831284.0,26.5645628297842,33735537.0,348.350096006144,-0.115284177050088,126994511.0,,10849141.0,8.54300000000001,11.1033645354834,116145370.0,91.457
2016-01-01,YR2016,"Korea, Rep.",KOR,37.1496082598761,1.92759592297656,-2.76841450323747,24602161996.642,110.894505383873,287.5902663,384.2969017,42.2842014732736,2.56099531929299,0.855545972716298,2.11767825388936,5.42554064114917,2.9293047947001,25484.0375903163,35020.4115062331,67771.4921875,,29.2523873391538,5.61021375014796,25.2486560367795,26.5832050303408,15.695690621,35.4286307716109,35.1297976715601,3.27578998608359,455131865879.049,0.97,,26.7818278387074,2.35671886731535,370751889389.92,10457900000.0,5699800000.0,13.6504942843368,6995292.0,72.9130769798243,37364822.0,13.4364287358389,6885593.0,525.704831760361,0.451318043969976,51245707.0,,9448683.0,18.438,14.8250128327702,41797024.0,81.562
2016-01-01,YR2016,Italy,ITA,57.0290127929924,1.89270567009178,0.315175656530414,38824046068.7096,107.397634171255,191.8826912,108.5427136,29.8015328373315,2.40835231464121,1.05604341735863,0.819537758526933,2.67671520547539,0.858262630008326,34318.4968180439,34655.2627627333,94729.484375,,17.0949775308351,0.659149026103734,,7.48838336089443,5.1082294161,26.5495050085128,21.4380384498486,1.17359738278809,437397269036.303,-0.123335389,,14.6514993532519,1.17942066353396,306532477821.421,9396294021.6228,2369818767.35028,13.6081817887813,8250300.0,63.6824995509839,38609106.0,22.7093186602348,13768092.0,206.117828245053,-0.169884073301448,60627498.0,,18276159.0,30.145,23.6595645041034,42351339.0,69.855
2016-01-01,YR2016,Kuwait,KWT,30.1628535602697,0.567649358633821,3.59161262275262,606943475.226797,121.909951247491,238.078587,172.9259771,48.2322885640441,1.80063915817448,0.263295018689014,5.77269354816288,89.690293347968,3.54700508846648,35250.9145753869,68861.7920978832,129646.5625,,26.9940847474826,1.95891974134652,,1.91050671147353,6.5267442253,46.4290617370906,51.6352002292086,2.34983271096121,96245867196.0813,3.198404612,,7.27110479726382,-5.02834238328764,7447093510.11863,15287570250.0848,,20.9783683694157,850166.0,76.8268344345238,3113472.0,2.19479719606059,88946.0,227.4177328844,2.92420619366023,4052584.0,,0.0,0.0,,4052584.0,100.0
2016-01-01,YR2016,Malaysia,MYS,44.2955285376256,8.65533443891653,-5.0759159248374,27774673248.2692,115.147475420763,192.8294374,167.1296066,67.6672194582642,1.14818610955258,4.54248146395855,3.4050909303011,13.7832900191288,4.21985131964395,11031.8215581749,25668.884358229,54809.390625,,25.8743049458589,3.33648014752069,17.1758039866029,42.9747947069701,24.6995224395,60.9774656131109,38.3369102201411,4.31101666610193,133800875477.321,2.127659574,,22.2661203784997,4.43700979487747,79080127906.6158,2955518689.59848,,24.6214889314597,7678769.0,69.3022167862427,21613466.0,6.0762942822976,1895030.0,94.9239537361132,1.49932335842914,31187265.0,,7846716.0,25.16,13.7663886450102,23340549.0,74.84
2016-01-01,YR2016,Mexico,MEX,50.9125499224668,3.35317642734475,3.76980055127889,39185861165.5339,122.780093375275,224.7663114,160.0184453,37.1224133572051,3.46157808891567,3.22920389101497,0.612374401119811,4.9122110155477,2.91332827651026,9871.670108626,17206.6343224392,39186.859375,43.4,23.7446300905381,1.52525873106732,19.5169348943068,15.2891992174211,16.5084938715,39.1008087486742,29.3324402970528,0.442161759577601,376197701091.36,2.821707752,,16.781623151194,1.54111750588434,192409673479.767,653519183.0,26993281568.0,27.0801234523113,34538104.0,66.2635414028696,84512801.0,6.65633514481914,8489518.0,65.6089009490985,1.30173094113147,127540423.0,2.5,26047581.0,20.423,13.5541999537603,101492842.0,79.577
2016-01-01,YR2016,Netherlands,NLD,53.7508882493604,1.64280194295522,1.90055786888688,15145662082.5855,109.528965398018,244.8592346,171.1419753,82.4485049975735,4.3153190774282,23.899453102463,36.6889736649429,9.09123468278058,2.20994151591842,52267.7317557741,47269.6329521216,94525.8671875,,20.0556187299062,3.09601619010853,,17.7778746638501,13.6835952259,71.4403230099012,17.9578191423501,2.74560936188206,167874268632.56,0.316666667,,10.9085578552917,3.02147443243676,95006753056.1621,7571977367.31102,169262698.861395,16.5913536735908,2825560.0,65.040274133722,11076563.0,18.3683721926871,3128191.0,505.500563965568,0.532178879608489,17030314.0,,1594889.0,9.36499999999999,22.176616508288,15435425.0,90.635
