Time,Time Code,Country Name,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],"Air transport, registered carrier departures worldwide [IS.AIR.DPRT]","Automated teller machines (ATMs) (per 100,000 adults) [FB.ATM.TOTL.P5]","Borrowers from commercial banks (per 1,000 adults) [FB.CBK.BRWR.P3]",CPIA economic management cluster average (1=low to 6=high) [IQ.CPA.ECON.XQ],CPIA financial sector rating (1=low to 6=high) [IQ.CPA.FINS.XQ],CPIA gender equality rating (1=low to 6=high) [IQ.CPA.GNDR.XQ],CPIA macroeconomic management rating (1=low to 6=high) [IQ.CPA.MACR.XQ],CPIA policies for social inclusion/equity cluster average (1=low to 6=high) [IQ.CPA.SOCI.XQ],CPIA property rights and rule-based governance rating (1=low to 6=high) [IQ.CPA.PROP.XQ],Depth of credit information index (0=low to 8=high) [IC.CRD.INFO.XQ],Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Domestic credit to private sector (% of GDP) [FS.AST.PRVT.GD.ZS],Ease of doing business index (1=most business-friendly regulations) [IC.BUS.EASE.XQ],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],Fixed broadband Internet subscribers (per 100 people) [IT.NET.BBND.P2],Informal payments to public officials (% of firms) [IC.FRM.CORR.ZS],Market capitalization of listed companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],Number of visits or required meetings with tax officials [IC.TAX.METG],Private credit bureau coverage (% of adults) [IC.CRD.PRVT.ZS],Public credit registry coverage (% of adults) [IC.CRD.PUBL.ZS],Tax payments (number) [IC.TAX.PAYM],"Taxes on income, profits and capital gains (% of total taxes) [GC.TAX.YPKG.ZS]",Telephone lines (per 100 people) [IT.MLT.MAIN.P2],Time required to enforce a contract (days) [IC.LGL.DURS],Time required to obtain an operating license (days) [IC.FRM.DURS],Time required to register property (days) [IC.PRP.DURS],Time required to start a business (days) [IC.REG.DURS],Time to prepare and pay taxes (hours) [IC.TAX.DURS],Time to resolve insolvency (years) [IC.ISV.DURS]
2016,YR2016,India,IND,84.5268173217773,917625,21.2357749214797,..,..,..,..,..,..,..,7,75.033801729654,49.5452998484093,..,..,1.40867810979696,..,68.8884012220315,85.1709256957691,..,21.4,0,27,..,1.84296389785819,1445,..,53,28.5,249,4.3
2016,YR2016,Iraq,IRQ,100,10579,2.40032058519002,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,89.9050743050776,..,0,0,15,63.7920607505454,5.45929996452933,520,..,51,34.5,312,..
2016,YR2016,Ireland,IRL,100,836293,90.2556630899203,..,..,..,..,..,..,..,7,98.8321900546183,47.4497862770991,..,..,28.7806295198683,..,39.3113879195747,103.153523915602,..,100,0,9,54.1732679006144,40.1434762608658,650,..,31.5,5,82,0.4
2016,YR2016,Indonesia,IDN,97.62,823735,54.745027175833,446.448944191818,..,..,..,..,..,..,6,47.9361711047711,39.3864004742342,..,..,2.0019469854745,..,45.6706681168263,147.663950616543,..,0,51.8,43,51.9710534521193,4.11806798598701,471,..,27.6,24.9,221,1.1
2016,YR2016,Israel,ISR,100,50548,111.003277699788,..,..,..,..,..,..,..,7,81.109758623317,65.5823168923254,..,..,27.5640552999892,..,67.3439067422973,129.031029460091,..,72.5,0,33,43.6684820526413,40.775062660007,975,..,81,12,235,2
2016,YR2016,Japan,JPN,100,984320,127.7969276653,..,..,..,..,..,..,..,6,345.149319478516,161.714798486094,..,..,31.1593341207815,..,100.12176151687,130.610328904572,..,100,0,14,52.2077222608789,50.1760666286581,360,..,13,12.2,151,0.6
2016,YR2016,"Korea, Rep.",KOR,100,473606,..,..,..,..,..,..,..,..,8,169.630377168523,142.955286072606,..,..,40.470380731234,..,88.6724269917178,120.679704974329,..,100,0,12,50.6777652529713,55.1969694234234,290,..,5.5,4,188,1.5
2016,YR2016,Italy,ITA,100,277671,94.1380708485236,530.211305534314,..,..,..,..,..,..,7,170.643876512309,85.6916403308347,..,..,26.1876076666949,..,..,144.634014257259,..,100,29,14,51.7481550395394,34.1026319091903,1120,..,16,6.5,240,1.8
2016,YR2016,Kuwait,KWT,100,33387,62.1717714551942,210.989633458218,..,..,..,..,..,..,6,94.4736672774916,103.771636035885,..,..,2.50186054132376,..,..,133.070801246809,..,31,14.5,12,..,9.95004668626239,566,..,70,61.4,98,4.2
2016,YR2016,Malaysia,MYS,100,447001,48.1060123965395,378.59750789672,..,..,..,..,..,..,8,145.256370465174,123.907095531601,..,..,8.71766087856694,..,121.330424720578,139.367783612959,..,76.4,62.4,9,58.8230048936154,15.510176990512,425,..,13,18.5,164,1
2016,YR2016,Mexico,MEX,100,555984,52.6277199604023,..,..,..,..,..,..,..,8,54.7903623788869,34.0315149699044,..,..,12.5717483311154,..,32.6898564622748,87.6036909490256,..,100,0,6,52.2372589944113,16.1446830076767,341,..,42.1,8.4,240.5,1.8
2016,YR2016,Netherlands,NLD,100,334240,47.5525453789499,..,..,..,..,..,..,..,6,208.903977991606,115.734208507616,..,..,42.2844555324468,..,103.666480712586,122.974004743535,..,75.7,0,9,47.7666824966949,39.8767787521641,514,..,2.5,3.5,119,1.1
